날짜,nino3.4 index,ONI index,nino3.4 수온 평균,nino3.4 수온 평균(3개월),nino3.4 수온 평년평균,nino3.4 수온 표준편차
﻿2025년 07월,-0.068856,,27.174763,,27.243618,0.677102
﻿2025년 06월,0.029656,-0.032759,27.694521,27.550537,27.664865,0.627709
﻿2025년 05월,-0.059078,-0.067622,27.78233,27.691547,27.841408,0.614643
﻿2025년 04월,-0.173445,-0.037461,27.597792,27.560186,27.771236,0.657626
﻿2025년 03월,0.120141,-0.138248,27.300436,27.068207,27.180296,0.817327
﻿2025년 02월,-0.36144,-0.333881,26.306391,26.447029,26.667831,1.007264
﻿2025년 01월,-0.760345,-0.598348,25.734262,25.981411,26.494608,1.164648
﻿2024년 12월,-0.67326,-0.532549,25.90358,26.076696,26.576839,1.219633
﻿2024년 11월,-0.164042,-0.377373,26.592249,26.299988,26.75629,1.177667
﻿2024년 10월,-0.294816,-0.254911,26.404133,26.461926,26.69895,1.01164
﻿2024년 09월,-0.305875,-0.223878,26.389393,26.519304,26.695267,0.834961
﻿2024년 08월,-0.070943,-0.065091,26.764385,26.859648,26.835327,0.818931
﻿2024년 07월,0.181545,0.106024,27.425163,27.353962,27.243618,0.677102
﻿2024년 06월,0.207471,0.220925,27.872335,27.804222,27.664865,0.627709
﻿2024년 05월,0.27376,0.432105,28.115168,28.191275,27.841408,0.614643
﻿2024년 04월,0.815084,0.778567,28.586321,28.376213,27.771236,0.657626
﻿2024년 03월,1.246858,1.207435,28.427153,28.413889,27.180296,0.817327
﻿2024년 02월,1.560362,1.531435,28.228193,28.312346,26.667831,1.007264
﻿2024년 01월,1.787085,1.788519,28.281693,28.368279,26.494608,1.164648
﻿2023년 12월,2.018108,1.903463,28.594948,28.512709,26.576839,1.219633
﻿2023년 11월,1.905195,1.840008,28.661486,28.517368,26.75629,1.177667
﻿2023년 10월,1.596722,1.693428,28.295671,28.410263,26.69895,1.01164
﻿2023년 09월,1.578367,1.503055,28.273634,28.246237,26.695267,0.834961
﻿2023년 08월,1.334077,1.339169,28.169405,28.263906,26.835327,0.818931
﻿2023년 07월,1.105064,1.123663,28.348682,28.371599,27.243618,0.677102
﻿2023년 06월,0.931848,0.839768,28.596712,28.423065,27.664865,0.627709
﻿2023년 05월,0.477698,0.534997,28.319105,28.294167,27.841408,0.614643
﻿2023년 04월,0.192268,0.217655,27.963505,27.815302,27.771236,0.657626
﻿2023년 03월,-0.017,-0.086983,27.163296,27.119471,27.180296,0.817327
﻿2023년 02월,-0.436216,-0.382985,26.231615,26.397926,26.667831,1.007264
﻿2023년 01월,-0.695737,-0.660465,25.79887,25.919294,26.494608,1.164648
﻿2022년 12월,-0.849441,-0.828729,25.727398,25.780518,26.576839,1.219633
﻿2022년 11월,-0.941008,-0.88014,25.815283,25.79722,26.75629,1.177667
﻿2022년 10월,-0.849972,-0.908448,25.848976,25.808388,26.69895,1.01164
﻿2022년 09월,-0.934364,-0.929867,25.760902,25.813314,26.695267,0.834961
﻿2022년 08월,-1.005265,-0.849377,25.830063,26.075361,26.835327,0.818931
﻿2022년 07월,-0.608502,-0.763389,26.635117,26.484547,27.243618,0.677102
﻿2022년 06월,-0.676401,-0.783569,26.988462,26.799728,27.664865,0.627709
﻿2022년 05월,-1.065803,-0.911549,26.775604,26.847622,27.841408,0.614643
﻿2022년 04월,-0.992442,-0.992235,26.778795,26.605412,27.771236,0.657626
﻿2022년 03월,-0.91846,-0.879209,26.261835,26.327246,27.180296,0.817327
﻿2022년 02월,-0.726725,-0.835178,25.941107,25.945732,26.667831,1.007264
﻿2022년 01월,-0.86035,-0.884168,25.634258,25.695593,26.494608,1.164648
﻿2021년 12월,-1.065429,-0.934068,25.511412,25.675179,26.576839,1.219633
﻿2021년 11월,-0.876425,-0.912733,25.879866,25.764627,26.75629,1.177667
﻿2021년 10월,-0.796346,-0.647614,25.902603,26.069221,26.69895,1.01164
﻿2021년 09월,-0.270069,-0.452468,26.425198,26.290714,26.695267,0.834961
﻿2021년 08월,-0.290989,-0.250441,26.544338,26.674295,26.835327,0.818931
﻿2021년 07월,-0.190266,-0.1686,27.053352,27.079336,27.243618,0.677102
﻿2021년 06월,-0.024545,-0.177667,27.64032,27.40563,27.664865,0.627709
﻿2021년 05월,-0.318188,-0.307687,27.523218,27.451483,27.841408,0.614643
﻿2021년 04월,-0.580328,-0.483743,27.190908,27.113903,27.771236,0.657626
﻿2021년 03월,-0.552714,-0.672912,26.627581,26.533543,27.180296,0.817327
﻿2021년 02월,-0.885694,-0.788321,25.782137,25.99259,26.667831,1.007264
﻿2021년 01월,-0.926556,-0.943364,25.568052,25.636396,26.494608,1.164648
﻿2020년 12월,-1.017841,-1.06793,25.558998,25.541315,26.576839,1.219633
﻿2020년 11월,-1.259393,-1.14715,25.496899,25.53021,26.75629,1.177667
﻿2020년 10월,-1.164216,-1.030081,25.534733,25.686754,26.69895,1.01164
﻿2020년 09월,-0.666635,-0.797757,26.028631,25.945423,26.695267,0.834961
﻿2020년 08월,-0.562421,-0.462416,26.272907,26.462322,26.835327,0.818931
﻿2020년 07월,-0.158191,-0.338824,27.085426,26.909113,27.243618,0.677102
﻿2020년 06월,-0.29586,-0.234541,27.369003,27.348757,27.664865,0.627709
﻿2020년 05월,-0.249572,-0.045158,27.591837,27.714012,27.841408,0.614643
﻿2020년 04월,0.409959,0.212876,28.181196,27.810522,27.771236,0.657626
﻿2020년 03월,0.478241,0.41186,27.658537,27.618315,27.180296,0.817327
﻿2020년 02월,0.34738,0.450258,27.015211,27.231169,26.667831,1.007264
﻿2020년 01월,0.525154,0.430998,27.019762,27.010757,26.494608,1.164648
﻿2019년 12월,0.42046,0.468848,26.997299,27.078094,26.576839,1.219633
﻿2019년 11월,0.460931,0.472389,27.217222,27.14975,26.75629,1.177667
﻿2019년 10월,0.535775,0.326179,27.234724,27.043015,26.69895,1.01164
﻿2019년 09월,-0.018168,0.222223,26.677099,26.965405,26.695267,0.834961
﻿2019년 08월,0.149063,0.18748,26.98439,27.112219,26.835327,0.818931
﻿2019년 07월,0.431545,0.3974,27.675163,27.645336,27.243618,0.677102
﻿2019년 06월,0.611594,0.601426,28.276459,28.184723,27.664865,0.627709
﻿2019년 05월,0.76114,0.702656,28.602549,28.461826,27.841408,0.614643
﻿2019년 04월,0.735234,0.833757,28.506472,28.431404,27.771236,0.657626
﻿2019년 03월,1.004898,0.819598,28.185192,28.026052,27.180296,0.817327
﻿2019년 02월,0.718661,0.802495,27.386492,27.583406,26.667831,1.007264
﻿2019년 01월,0.683926,0.773147,27.178534,27.352905,26.494608,1.164648
